speaker_id,corpus,sex,age_group,education,category
PRE_001,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_002,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_003,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_004,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_005,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_006,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_007,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_008,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_009,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_010,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_011,PRESEEA,Men,>55,high,PRESEEA | Men | >55
PRE_012,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_013,PRESEEA,Men,>55,high,PRESEEA | Men | >55
PRE_014,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_015,PRESEEA,Men,>55,high,PRESEEA | Men | >55
PRE_016,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_017,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_018,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_019,PRESEEA,Men,>55,high,PRESEEA | Men | >55
PRE_020,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_021,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_022,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_023,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_024,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_025,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_026,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_027,PRESEEA,Men,>55,high,PRESEEA | Men | >55
PRE_028,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_029,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_030,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_031,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_032,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_033,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_034,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_035,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_036,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_037,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_038,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_039,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_040,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_041,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_042,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_043,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_044,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_045,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_046,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_047,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_048,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_049,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_050,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_051,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_052,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_053,PRESEEA,Men,>55,high,PRESEEA | Men | >55
PRE_054,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_055,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_056,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_057,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_058,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_059,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_060,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_061,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_062,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_063,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_064,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_065,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_066,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_067,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_068,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_069,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_070,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_071,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_072,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_073,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_074,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_075,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_076,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_077,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_078,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_079,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_080,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_081,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_082,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_083,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_084,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_085,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_086,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_087,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_088,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_089,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_090,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_091,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_092,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_093,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_094,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_095,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_096,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_097,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_098,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_099,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_100,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_101,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_102,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_103,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_104,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_105,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_106,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_107,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_108,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_109,PRESEEA,Women,35-55,high,PRESEEA | Women | 35-55
PRE_110,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_111,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_112,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_113,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_114,PRESEEA,Men,>55,high,PRESEEA | Men | >55
PRE_115,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_116,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_118,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_119,PRESEEA,Men,35-55,high,PRESEEA | Men | 35-55
PRE_120,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_121,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_122,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_123,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_124,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_125,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_126,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_127,PRESEEA,Women,>55,high,PRESEEA | Women | >55
PRE_128,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_129,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_130,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_131,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_132,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_133,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_134,PRESEEA,Men,18-35,high,PRESEEA | Men | 18-35
PRE_135,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_136,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
PRE_137,PRESEEA,Women,18-35,high,PRESEEA | Women | 18-35
ASD_001,ASD1,Women,18-35,high,ASD-1 | Women | 18-35
ASD_003,ASD1,Women,>55,high,ASD-1 | Women | >55
ASD_007,ASD1,Men,18-35,high,ASD-1 | Men | 18-35
ASD_010,ASD1,Men,18-35,high,ASD-1 | Men | 18-35
ASD_011,ASD1,Women,18-35,high,ASD-1 | Women | 18-35
ASD_012,ASD1,Men,35-55,high,ASD-1 | Men | 35-55
ASD_013,ASD1,Men,18-35,high,ASD-1 | Men | 18-35
ASD_014,ASD1,Men,18-35,high,ASD-1 | Men | 18-35
